Row_id,Year,Country,Spending_USD,Life_Expectancy
252,2017,France,5005.756,83
253,2017,Great Britain,4059.125,81
254,2017,Japan,4412.852,84
255,2017,USA,10046.472,79
256,2018,Canada,5308.356,82
257,2018,Germany,6281.84,81
258,2018,France,5099.306,83
259,2018,Great Britain,4189.708,81
260,2018,Japan,4554.276,84
261,2018,USA,10451.386,79
262,2019,Canada,5189.721,82
263,2019,Germany,6407.928,81
264,2019,France,5167.839,83
265,2019,Great Britain,4385.463,81
266,2019,Japan,4610.794,84
267,2019,USA,10855.517,79
268,2020,Canada,5828.324,82
269,2020,Germany,6938.983,81
270,2020,France,5468.418,82
271,2020,Great Britain,5018.7,80
272,2020,Japan,4665.641,85
273,2020,USA,11859.179,77
,,,,
